"""Texas Christian University""","""2800 S University Dr, Fort Worth, Texas 76129""",School,"""Texas Christian University is a private research university in Fort Worth, Texas, United States. It was established in 1873 by brothers Addison and Randolph Clark as the AddRan Male & Female College. It is affiliated with the Christian Church. The campus is located on 302 acres about 4 miles from downtown Fort Worth. The university consists of nine constituent colleges and schools.""",https://www.tcu.edu/news/images/CommonsCelebrationAerial-news-lg.jpg 
"""Vintage Flying Museum""","""505 NW 38th St, Fort Worth, Texas 76106""",Musuem,"""Historic aviation museum. Maintains and restores aircraft to an airworthy state""",https://vintageflyingmuseum.org/wp-content/uploads/2022/03/cropped-vfm_hdr1.5-scaled-1.jpg
"""Greek House""","""2426 Forest Park Blvd, Fort Worth, Texas 76110""",Restaurant,"""Family run greek restraunt.""",https://sellingthefort.com/wp-content/uploads/2025/06/Greek-House-.webp
"""Nolan Catholic Highschool""","""4501 Bridge St, Fort Worth, Texas 76103""",School,"""Nolan Catholic High School is a private, coeducational, college preparatory school, formerly in the Marianist tradition, and is located in the Diocese of Fort Worth, Texas. It serves grades 9-12, has an average student population of 800, and serves the Church by educating and forming youth in the Catholic faith through its mission.""",https://educationsnapshots.com/wp-content/uploads/sites/4/2021/07/nolan-catholic-high-school-2-1050x750-compact.jpg 
"""Fort Worth Nature Center""","""9601 Fossil Ridge Rd, Fort Worth, Texas 76135""",Park,"""Nature preserve and park.""",https://www.fwnaturecenter.org/wp-content/uploads/2020/07/Boardwalk.jpg
"""Museum of Science and History""","""1600 Gendy St, Fort Worth, Texas 76107""",Musueum,"""Science and history musuem. Major focus on childhood education""",https://www.fwmuseum.org/wp-content/uploads/2022/03/IMG_0884.jpg
"""Lockheed Martin""","""1 Lockheed Blvd, Fort Worth, Texas 76108""",Industry,"""Manufacturer of military aircraft. Local plant assembles F-35 Lightning II. Major local employer""",https://www.lockheedmartin.com/content/dam/lockheed-martin/aero/photo/F-35/MuralMasthead.jpg 
"""Bell Helicopter""","""1700 N Hwy 360, Grand Prarie, Texas 4505""",Industry,"""Manufacturer of military and civilian rotorcraft.""",https://www.star-telegram.com/public/latest-news/vpeuge/picture297234329/alternates/FREE_768/377996-Bell%20V-280%20Valor-In%20Flight-2020-f6ebb2-original-1611939616.jpg 
"""DFW International Airport""","""3200 E Airfield Drive, DFW Airport, Texas 75261""",Airport,"""Major international airport. 6th busiest in the world and 3rd busiest airport in the world for passenger traffic.Major hub of American Airlines. Fun architecture.""",https://upgradedpoints.com/wp-content/uploads/2019/04/Dallas-Fort-Worth-International-Airport-Centurion-Lounge-Skylink-Signposting.jpg?auto=webp&disable=upscale&width=900&fit=cover
"""Trinity Terrace""","""1600 Texas St, Fort Worth, Texas 76102""",Residential,"""Luxury retirement home. Notable aspect of Fort Worth Skyline. Surprisingly hosts some TCU Silverfrog classes.""",https://www.carechanges.com/_next/image/?url=https%3A%2F%2Fmedia.carechanges.com%2Fcommunity_images%2F6055dac3-65ef-4206-a277-27bdd91fcc5c%2Ffamilyassets%2Fd.png%3Fformat%3Dauto%26width%3D696%26height%3D430&w=750&q=75
"""Central Market""","""4651 W Fwy, Fort Worth, Texas 76107""",Commercial,"""Gourmet Grocery store. Host a full service kitchen, cooking schools, and catering services. Very fun interior - gets a bit crampt at times, but more interesting than the usual grocery store grid.""",https://fortworthbusiness.com/media/2021/09/CentralMktcty.jpg
"""Cidercade""","""1813 W Bowie St, Ste 101, Fort Worth, Texas 76110""",Recreation,"""Modern arcade featuring unlimited plays (entry fee, but no token system). Family friendly by day, 18+ after 9pm. Hosts a cider and pizza restraunt.""",https://cidercade.com/wp-content/uploads/2023/05/FTW_Exterior_1-1.jpg.webp
"""Hobbytown USA""","""1112 W Arbrook Blvd, Ste 106, Arlington, Texas 76015""",Commercial,"""One of the few remaining brick and mortar hobby stores. Has an excellent collection of models, tools, paints, etc... Fun atmosphere and friendly staff.""",https://htudallastx.com/wp-content/uploads/2022/03/dallas-hobbytown-crew.png
"""Plaza Theatre Company at Dudley Hall""","""305 S Anglin St, Cleburne, Texas 76031""",Recreation,"""Outside of Fort Worth, but hosts incredible performances. Excellent acting, singing, staging. Very small theatre-in-the-round, but the theatre group knows how to work with it well. Actually comfortable seats!""",https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/15/80/78/plaza-stage-in-the-round.jpg?w=1000&h=-1&s=1
